@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
123,238,1,41,402,0.092551,0.995816,0.853047,0.995816,0.146953,0.918919,0.409091,2.434217,0.146239
124,238,1,40,403,0.090293,0.995816,0.856115,0.995816,0.143885,0.920696,0.407625,2.442973,0.148603
125,238,1,39,404,0.088036,0.995816,0.859206,0.995816,0.140794,0.922481,0.406158,2.451792,0.159887
126,238,1,38,405,0.085779,0.995816,0.862319,0.995816,0.137681,0.924272,0.404692,2.460676,0.162154
127,238,1,37,406,0.083521,0.995816,0.865455,0.995816,0.134545,0.92607,0.403226,2.469623,0.168463
128,238,1,36,407,0.081264,0.995816,0.868613,0.995816,0.131387,0.927875,0.40176,2.478637,0.176311
129,238,1,35,408,0.079007,0.995816,0.871795,0.995816,0.128205,0.929688,0.400293,2.487716,0.193692
130,238,1,34,409,0.076749,0.995816,0.875,0.995816,0.125,0.931507,0.398827,2.496862,0.202128
131,238,1,33,410,0.074492,0.995816,0.878229,0.995816,0.121771,0.933333,0.397361,2.506075,0.226442
132,238,1,32,411,0.072235,0.995816,0.881481,0.995816,0.118519,0.935167,0.395894,2.515357,0.228534
133,238,1,31,412,0.069977,0.995816,0.884758,0.995816,0.115242,0.937008,0.394428,2.524708,0.243561
134,238,1,30,413,0.06772,0.995816,0.88806,0.995816,0.11194,0.938856,0.392962,2.534129,0.245098
135,238,1,29,414,0.065463,0.995816,0.891386,0.995816,0.108614,0.940711,0.391496,2.54362,0.25356
136,238,1,28,415,0.063205,0.995816,0.894737,0.995816,0.105263,0.942574,0.390029,2.553182,0.257006
137,238,1,27,416,0.060948,0.995816,0.898113,0.995816,0.101887,0.944444,0.388563,2.562817,0.260109
138,238,1,26,417,0.058691,0.995816,0.901515,0.995816,0.098485,0.946322,0.387097,2.572524,0.268327
139,238,1,25,418,0.056433,0.995816,0.904943,0.995816,0.095057,0.948207,0.38563,2.582306,0.282909
140,237,2,25,418,0.056433,0.991632,0.90458,0.991632,0.09542,0.946108,0.384164,2.581271,0.303583
141,237,2,24,419,0.054176,0.991632,0.908046,0.991632,0.091954,0.948,0.382698,2.59116,0.315081
142,237,2,23,420,0.051919,0.991632,0.911538,0.991632,0.088462,0.9499,0.381232,2.601126,0.373247
143,237,2,21,422,0.047404,0.991632,0.918605,0.991632,0.081395,0.953722,0.378299,2.62129,0.378035
144,236,3,21,422,0.047404,0.987448,0.918288,0.987448,0.081712,0.951613,0.376833,2.620387,0.391699
145,236,3,20,423,0.045147,0.987448,0.921875,0.987448,0.078125,0.953535,0.375367,2.630622,0.392155
146,235,4,20,423,0.045147,0.983264,0.921569,0.983264,0.078431,0.951417,0.3739,2.629748,0.393062
147,235,4,19,424,0.042889,0.983264,0.925197,0.983264,0.074803,0.953347,0.372434,2.640101,0.407225
148,235,4,18,425,0.040632,0.983264,0.928854,0.983264,0.071146,0.955285,0.370968,2.650537,0.443742
149,234,5,18,425,0.040632,0.979079,0.928571,0.979079,0.071429,0.953157,0.369501,2.649731,0.445967
150,233,6,18,425,0.040632,0.974895,0.928287,0.974895,0.071713,0.95102,0.368035,2.648919,0.450912
151,233,6,17,426,0.038375,0.974895,0.932,0.974895,0.068,0.952965,0.366569,2.659515,0.452056
152,233,6,16,427,0.036117,0.974895,0.935743,0.974895,0.064257,0.954918,0.365103,2.670195,0.523132
153,232,7,16,427,0.036117,0.970711,0.935484,0.970711,0.064516,0.952772,0.363636,2.669456,0.585337
154,231,8,16,427,0.036117,0.966527,0.935223,0.966527,0.064777,0.950617,0.36217,2.668711,0.586884
155,230,9,16,427,0.036117,0.962343,0.934959,0.962343,0.065041,0.948454,0.360704,2.667959,0.63992
156,229,10,16,427,0.036117,0.958159,0.934694,0.958159,0.065306,0.946281,0.359238,2.667202,0.652557
157,228,11,16,427,0.036117,0.953975,0.934426,0.953975,0.065574,0.944099,0.357771,2.666438,0.660125
158,228,11,15,428,0.03386,0.953975,0.938272,0.953975,0.061728,0.946058,0.356305,2.677411,0.660771
159,228,11,14,429,0.031603,0.953975,0.942149,0.953975,0.057851,0.948025,0.354839,2.688475,0.680286
160,227,12,14,429,0.031603,0.949791,0.941909,0.949791,0.058091,0.945833,0.353372,2.68779,0.736364
161,226,13,14,429,0.031603,0.945607,0.941667,0.945607,0.058333,0.943633,0.351906,2.687099,0.748933
162,226,13,13,430,0.029345,0.945607,0.945607,0.945607,0.054393,0.945607,0.35044,2.698342,0.761224
163,226,13,12,431,0.027088,0.945607,0.94958,0.945607,0.05042,0.947589,0.348974,2.70968,0.784322
164,226,13,11,432,0.024831,0.945607,0.953586,0.945607,0.046414,0.94958,0.347507,2.721113,0.812962
165,225,14,11,432,0.024831,0.941423,0.95339,0.941423,0.04661,0.947368,0.346041,2.720552,0.81381
166,224,15,11,432,0.024831,0.937238,0.953191,0.937238,0.046809,0.945148,0.344575,2.719986,0.826584
167,223,16,11,432,0.024831,0.933054,0.952991,0.933054,0.047009,0.942918,0.343109,2.719415,0.849172
168,222,17,11,432,0.024831,0.92887,0.95279,0.92887,0.04721,0.940678,0.341642,2.718839,0.873328
169,221,18,11,432,0.024831,0.924686,0.952586,0.924686,0.047414,0.938429,0.340176,2.718259,0.885423
170,220,19,11,432,0.024831,0.920502,0.952381,0.920502,0.047619,0.93617,0.33871,2.717673,0.890038
171,220,19,10,433,0.022573,0.920502,0.956522,0.920502,0.043478,0.938166,0.337243,2.729489,0.908642
172,219,20,10,433,0.022573,0.916318,0.956332,0.916318,0.043668,0.935897,0.335777,2.728947,0.912498
173,218,21,10,433,0.022573,0.912134,0.95614,0.912134,0.04386,0.933619,0.334311,2.7284,0.919175
174,217,22,10,433,0.022573,0.90795,0.955947,0.90795,0.044053,0.93133,0.332845,2.727849,0.924376
175,216,23,10,433,0.022573,0.903766,0.955752,0.903766,0.044248,0.929032,0.331378,2.727293,0.933453
176,216,23,9,434,0.020316,0.903766,0.96,0.903766,0.04,0.931034,0.329912,2.739414,0.934574
177,216,23,8,435,0.018059,0.903766,0.964286,0.903766,0.035714,0.933045,0.328446,2.751644,0.943217
178,215,24,8,435,0.018059,0.899582,0.964126,0.899582,0.035874,0.930736,0.326979,2.751187,0.94968
179,214,25,8,435,0.018059,0.895397,0.963964,0.895397,0.036036,0.928416,0.325513,2.750726,0.964258
180,213,26,8,435,0.018059,0.891213,0.963801,0.891213,0.036199,0.926087,0.324047,2.75026,0.966208
181,213,26,7,436,0.015801,0.891213,0.968182,0.891213,0.031818,0.928105,0.322581,2.762762,0.967675
182,212,27,7,436,0.015801,0.887029,0.968037,0.887029,0.031963,0.925764,0.321114,2.762347,0.977642
183,211,28,7,436,0.015801,0.882845,0.96789,0.882845,0.03211,0.923414,0.319648,2.761929,0.978703
184,210,29,7,436,0.015801,0.878661,0.967742,0.878661,0.032258,0.921053,0.318182,2.761506,0.984457
185,209,30,7,436,0.015801,0.874477,0.967593,0.874477,0.032407,0.918681,0.316716,2.76108,0.984825
186,208,31,7,436,0.015801,0.870293,0.967442,0.870293,0.032558,0.9163,0.315249,2.76065,0.985115
187,207,32,7,436,0.015801,0.866109,0.96729,0.866109,0.03271,0.913907,0.313783,2.760216,0.986324
188,206,33,7,436,0.015801,0.861925,0.967136,0.861925,0.032864,0.911504,0.312317,2.759778,0.986485
189,205,34,7,436,0.015801,0.857741,0.966981,0.857741,0.033019,0.909091,0.31085,2.759335,0.987318
190,204,35,7,436,0.015801,0.853556,0.966825,0.853556,0.033175,0.906667,0.309384,2.758889,0.988621
191,203,36,7,436,0.015801,0.849372,0.966667,0.849372,0.033333,0.904232,0.307918,2.758438,0.989202
192,202,37,7,436,0.015801,0.845188,0.966507,0.845188,0.033493,0.901786,0.306452,2.757983,0.989752
193,201,38,7,436,0.015801,0.841004,0.966346,0.841004,0.033654,0.899329,0.304985,2.757523,0.990738
194,200,39,7,436,0.015801,0.83682,0.966184,0.83682,0.033816,0.896861,0.303519,2.757059,0.991134
195,200,39,6,437,0.013544,0.83682,0.970874,0.83682,0.029126,0.898876,0.302053,2.770443,0.992032
196,199,40,6,437,0.013544,0.832636,0.970732,0.832636,0.029268,0.896396,0.300587,2.770038,0.992264
197,198,41,6,437,0.013544,0.828452,0.970588,0.828452,0.029412,0.893905,0.29912,2.769628,0.994088
198,197,42,6,437,0.013544,0.824268,0.970443,0.824268,0.029557,0.891403,0.297654,2.769215,0.995087
199,196,43,6,437,0.013544,0.820084,0.970297,0.820084,0.029703,0.888889,0.296188,2.768797,0.995544
200,195,44,6,437,0.013544,0.8159,0.970149,0.8159,0.029851,0.886364,0.294721,2.768376,0.995738
201,194,45,6,437,0.013544,0.811715,0.97,0.811715,0.03,0.883827,0.293255,2.76795,0.995908
202,193,46,6,437,0.013544,0.807531,0.969849,0.807531,0.030151,0.881279,0.291789,2.76752,0.996024
203,192,47,6,437,0.013544,0.803347,0.969697,0.803347,0.030303,0.878719,0.290323,2.767085,0.996139
204,191,48,6,437,0.013544,0.799163,0.969543,0.799163,0.030457,0.876147,0.288856,2.766646,0.99643
205,190,49,5,438,0.011287,0.794979,0.974359,0.794979,0.025641,0.875576,0.285924,2.780388,0.997162
206,189,50,5,438,0.011287,0.790795,0.974227,0.790795,0.025773,0.872979,0.284457,2.780011,0.997203
